id,bg_name,year,popularity,best_for,weigth
737,ZÈRTZ,1999,4070,2.0,2.75
738,Ricochet Robots,1999,8421,6.0,2.4
739,Trails of Tucana,2019,2849,5.0,1.26
740,Marvel Dice Masters: Avengers vs. X-Men,2014,5616,2.0,2.3
741,Red7,2014,13986,4.0,1.69
742,Napoleon's Triumph,2007,1743,2.0,3.65
743,Not Alone,2016,9142,5.0,1.98
744,Scoville,2014,5067,4.0,2.78
745,Spyfall,2014,19543,6.0,1.24
746,Gentes,2017,2878,4.0,3.18
747,Friedrich,2004,2633,4.0,3.15
748,Tajemnicze Domostwo,2013,5079,5.0,1.86
749,Chronicles of Crime: 1400,2020,2288,2.0,2.12
750,Star Wars: The Card Game,2012,5522,2.0,2.97
751,Empire of the Sun,2005,1611,2.0,4.3
752,Tinners' Trail,2008,3910,4.0,2.83
753,Spyrium,2013,6014,4.0,2.9
754,Carcassonne: The City,2004,4314,3.0,2.26
755,Can't Stop,1980,15018,3.0,1.15
756,Celestia,2015,9513,6.0,1.33
757,Detective: City of Angels,2019,1734,3.0,2.38
758,Pandemic: Rising Tide,2017,2438,3.0,2.46
759,Union Pacific,1999,4239,5.0,2.55
760,Dice Hospital,2018,4713,3.0,2.3
761,The Bloody Inn,2015,7362,4.0,2.37
762,Hyperborea,2014,4612,4.0,3.17
763,Brew Crafters,2013,2958,4.0,3.57
764,Unfair,2017,4081,4.0,2.7
765,Sub Terra,2017,3781,0.0,2.13
766,Catacombs (Third Edition),2015,2574,2.0,2.26
767,Dale of Merchants,2015,4561,3.0,2.08
768,Warhammer Underworlds: Shadespire,2017,2707,2.0,2.49
769,Tammany Hall,2007,3727,5.0,2.77
770,Ca$h 'n Guns (Second Edition),2014,13698,8.0,1.25
771,Diamant,2005,18523,8.0,1.11
772,The Magnificent,2019,2409,0.0,3.14
773,New York Zoo,2020,4205,3.0,1.99
774,Tumblin-Dice,2004,4155,4.0,1.04
775,Menara,2018,2757,3.0,1.59
776,Thunderstone,2009,10313,3.0,2.5
777,Summoner Wars (Second Edition),2021,1378,2.0,2.48
778,Unlock!: Timeless Adventures,2019,1769,2.0,2.06
779,Virgin Queen,2012,1609,6.0,4.42
780,Signorie,2015,2889,4.0,3.55
781,Santiago,2003,4985,5.0,2.49
782,The Palaces of Carrara,2012,4382,4.0,2.61
783,Morels,2012,7958,2.0,1.74
784,Summoner Wars: Phoenix Elves vs Tundra Orcs,2009,2608,2.0,2.31
785,San Marco,2001,4349,3.0,2.68
786,The Shipwreck Arcana,2017,2652,4.0,2.14
787,Forbidden Island,2010,45454,4.0,1.74
788,Conflict of Heroes: Awakening the Bear! – Operation Barbarossa 1941 (Second Edition),2012,1788,2.0,3.26
789,Legendary: A Marvel Deck Building Game – Villains,2014,2642,3.0,2.71
790,Akrotiri,2014,4059,2.0,2.66
791,Homesteaders,2009,3773,4.0,3.04
792,Rhino Hero,2011,9481,3.0,1.02
793,Roll Through the Ages: The Bronze Age,2008,11745,2.0,1.78
794,Last Night on Earth: The Zombie Game,2007,13802,5.0,2.29
795,Container,2007,4518,5.0,3.24
796,Hannibal & Hamilcar,2018,1385,2.0,3.94
797,Wizard,1984,9531,5.0,1.73
798,Cerebria: The Inside World,2018,2057,2.0,4.33
799,Bridge,1925,2962,4.0,3.86
800,The Lost Expedition,2017,5831,1.0,1.86
801,Genoa,2001,6008,5.0,3.08
802,Kitchen Rush,2017,3334,4.0,2.21
803,Whistle Mountain,2020,1928,3.0,3.0
804,Pictomania,2011,3503,6.0,1.51
805,Letter Jam,2019,3433,6.0,1.98
806,Maharaja: The Game of Palace Building in India,2004,4975,5.0,3.17
807,Boonlake,2021,1790,3.0,3.76
808,Louis XIV,2005,5401,4.0,3.01
809,Smash Up: Science Fiction Double Feature,2014,3855,,2.3
810,Summoner Wars: Guild Dwarves vs Cave Goblins,2009,2373,2.0,2.23
811,Core Worlds,2011,4106,3.0,2.9
812,Qwixx,2012,11121,4.0,1.11
813,Project: ELITE,2020,1494,4.0,2.38
814,Heroscape Master Set: Swarm of the Marro,2007,2319,2.0,2.25
815,The Others,2016,3640,5.0,3.02
816,Tragedy Looper,2011,4206,4.0,3.53
817,Thunder Alley,2014,3322,5.0,2.39
818,Battle for Rokugan,2017,2897,4.0,2.74
819,Lanterns: The Harvest Festival,2015,10391,4.0,1.56
820,Palm Island,2018,4532,1.0,1.72
821,Web of Power,2000,3427,3.0,2.44
822,Wasteland Express Delivery Service,2017,3097,3.0,2.94
823,Dungeons & Dragons: Wrath of Ashardalon Board Game,2011,6180,4.0,2.61
824,Age of Industry,2010,2916,4.0,3.37
825,Mahjong,1850,6862,4.0,2.57
826,Britannia,1986,4130,4.0,3.16
827,Adrenaline,2016,6021,5.0,2.38
828,Last Bastion,2019,2381,4.0,2.56
829,Hawaii,2011,4349,4.0,2.9
830,Ascension: Storm of Souls,2011,3484,2.0,2.33
831,SpaceCorp: 2025-2300AD,2018,2063,3.0,2.94
832,Legacy: The Testament of Duke de Crecy,2013,4167,0.0,2.71
833,Dream Factory,2000,5223,5.0,2.11
834,Parade,2007,6576,4.0,1.47
835,The Castles of Burgundy: The Card Game,2016,6280,2.0,2.57
836,Jaws,2019,4378,4.0,2.19
837,Blue Lagoon,2018,3750,4.0,2.03
838,Tiny Epic Quest,2017,6733,4.0,2.65
839,Red Rising,2021,4442,3.0,2.27
840,Attika,2003,6435,2.0,2.37
841,Zooloretto,2007,14453,4.0,1.86
842,Dungeons & Dragons: Castle Ravenloft Board Game,2010,8787,4.0,2.51
843,Splendor: Marvel,2020,2188,3.0,1.9
844,Concept,2013,17284,6.0,1.39
845,IKI,2015,1910,4.0,2.98
846,Call to Adventure,2019,4626,3.0,2.02
847,Snow Tails,2008,6214,5.0,2.05
848,5-Minute Dungeon,2017,7933,5.0,1.11
849,Flick 'em Up!,2015,8367,4.0,1.33
850,Fabled Fruit,2016,5529,4.0,1.59
851,Werewords,2017,4119,7.0,1.16
852,The City of Kings,2018,2293,1.0,3.18
853,Meeple Circus,2017,4922,5.0,1.45
854,Raccoon Tycoon,2018,2932,4.0,2.08
855,Etherfields,2020,1945,2.0,3.44
856,Lovecraft Letter,2017,3591,5.0,1.45
857,DC Comics Deck-Building Game,2012,6771,3.0,2.0
858,Bloodborne: The Board Game,2021,2071,2.0,2.94
859,Zombicide: Invader,2019,1986,3.0,2.39
860,Luxor,2018,3760,4.0,1.91
861,Tak,2017,2385,2.0,2.48
862,Qwirkle,2006,17652,4.0,1.62
863,DinoGenics,2019,2004,4.0,2.9
864,The Grimm Forest,2018,5097,4.0,1.91
865,Gold West,2015,2752,3.0,2.46
866,Istanbul: The Dice Game,2017,3860,3.0,1.75
867,Rurik: Dawn of Kiev,2019,1783,4.0,3.04
868,Lowlands,2018,2499,3.0,3.1
869,La Città,2000,5155,4.0,3.28
870,Disney Villainous: Perfectly Wretched,2020,1988,3.0,2.31
871,Antike,2005,4647,5.0,3.0
872,Paris: La Cité de la Lumière,2019,2796,2.0,2.04
873,Coffee Roaster,2015,2408,1.0,2.13
874,Legendary Encounters: A Predator Deck Building Game,2015,2558,3.0,2.68
875,Ascension: Return of the Fallen,2011,3231,2.0,2.16
876,Unfathomable,2021,1905,5.0,2.97
877,Discoveries: The Journals of Lewis & Clark,2015,4656,3.0,2.36
878,Polis: Fight for the Hegemony,2012,2247,2.0,3.69
879,Detective Club,2018,2587,7.0,1.27
880,Marvel Dice Masters: Uncanny X-Men,2014,3765,2.0,2.37
881,The Speicherstadt,2010,4920,4.0,2.27
882,Automobiles,2016,3095,4.0,2.19
883,Star Wars: The Queen's Gambit,2000,2152,2.0,2.48
884,Space Hulk (Fourth Edition),2014,1681,2.0,2.71
885,History of the World,1991,4448,6.0,2.77
886,Kingsburg (Second Edition),2017,2390,4.0,2.45
887,Santa Monica,2020,2767,0.0,2.18
888,Mr. Jack Pocket,2010,8111,2.0,1.83
889,Zombicide Season 3: Rue Morgue,2015,2591,3.0,2.49
890,Star Trek: Frontiers,2016,1681,1.0,4.32
891,Condottiere,1995,9217,5.0,1.96
892,Circadians: First Light,2019,1936,2.0,3.46
893,Roam,2019,2617,3.0,1.8
894,Railroad Revolution,2016,2628,3.0,3.26
895,Smash Up: Pretty Pretty Smash Up,2015,3388,,2.14
896,Mint Works,2017,5740,0.0,1.69
897,Merchant of Venus (Second Edition),2012,3714,3.0,3.01
898,World's Fair 1893,2016,3535,4.0,2.0
899,Manila,2005,5744,4.0,2.03
900,Herbaceous,2017,4432,4.0,1.2
901,Valley of the Kings,2014,4517,2.0,2.19
902,Cottage Garden,2016,7706,3.0,1.9
903,Black Fleet,2014,5186,4.0,1.95
904,CO₂,2012,3790,4.0,3.87
905,Rivals for Catan,2010,6544,2.0,2.32
906,Majesty: For the Realm,2017,5729,4.0,1.73
907,Riverboat,2017,2253,4.0,2.9
908,Fields of Green,2016,3506,2.0,2.66
909,Cartographers Heroes,2021,1423,4.0,2.16
910,Wiz-War (Eighth Edition),2012,4810,4.0,2.32
911,Empires of the Void II,2018,2177,3.0,3.47
912,Firenze,2010,2970,3.0,2.55
913,Winner's Circle,2001,5277,6.0,1.61
914,Caylus 1303,2019,2056,4.0,2.91
915,"Warhammer 40,000: Conquest",2014,3013,2.0,3.04
916,Islebound,2016,3336,4.0,2.71
917,Falling Sky: The Gallic Revolt Against Caesar,2016,1576,4.0,3.99
918,Ticket to Ride: New York,2018,5591,0.0,1.23
919,Thunderstone: Dragonspire,2011,2681,3.0,2.7
920,Unmatched: Jurassic Park – InGen vs Raptors,2020,1258,2.0,1.88
921,"Time of Crisis: The Roman Empire in Turmoil, 235-284 AD",2017,1905,4.0,2.99
922,Cat Lady,2017,4566,0.0,1.42
923,Bitoku,2021,1474,3.0,3.68
924,A Distant Plain,2013,1609,4.0,3.82
925,Nations: The Dice Game,2014,5277,4.0,2.0
926,Rex: Final Days of an Empire,2012,4348,6.0,3.28
927,A Study in Emerald,2013,3236,5.0,3.45
928,Ohanami,2019,2531,3.0,1.13
929,Smash Up: Monster Smash,2014,3058,,2.26
930,"Hey, That's My Fish!",2003,20327,3.0,1.45
931,Babylonia,2019,1653,4.0,2.4
932,Container: 10th Anniversary Jumbo Edition!,2018,1726,5.0,2.96
933,ICECOOL,2016,9551,4.0,1.03
934,BattleCON: War of Indines,2010,1843,2.0,2.77
935,Wildlands,2018,2904,4.0,2.12
936,Clinic: Deluxe Edition,2019,1739,3.0,4.08
937,Tide of Iron,2007,3791,2.0,3.46
938,Netrunner,1996,2379,2.0,2.93
939,Shikoku 1889,2004,1333,4.0,3.89
940,The Big Book of Madness,2015,6186,3.0,2.68
941,NMBR 9,2017,6516,4.0,1.21
942,Dice Town,2009,7140,5.0,1.69
943,Tales & Games: The Hare & the Tortoise,2011,3888,4.0,1.38
944,When I Dream,2016,4715,6.0,1.19
945,Black Sonata,2017,2128,1.0,2.09
946,Loony Quest,2015,5975,4.0,1.2
947,Reavers of Midgard,2019,2287,4.0,2.91
948,Via Nebula,2016,4178,4.0,2.22
949,Wilderness War,2001,1760,2.0,3.29
950,Zendo,2001,2927,4.0,2.54
951,So Clover!,2021,1848,4.0,1.09
952,Vinci,1999,3991,4.0,2.78
953,Irish Gauge,2014,2543,4.0,2.39
954,Batman: Gotham City Chronicles,2019,2347,2.0,3.7
955,The Lord of the Rings,2000,14932,4.0,2.56
956,Imperium: Legends,2021,1413,1.0,3.68
957,A War of Whispers,2019,2359,4.0,2.56
958,Stronghold,2009,3422,2.0,3.68
959,Metropolys,2008,4106,4.0,2.21
960,Axis & Allies Anniversary Edition,2008,2777,0.0,3.09
961,Fauna,2008,4248,5.0,1.48
962,Paper Tales,2017,4102,4.0,2.13
963,Mr. Jack in New York,2009,3169,2.0,2.54
964,Terror in Meeple City,2013,7327,4.0,1.48
965,Archaeology: The New Expedition,2016,3374,0.0,1.28
966,Abomination: The Heir of Frankenstein,2019,2188,3.0,3.25
967,Tidal Blades: Heroes of the Reef,2020,1920,3.0,2.89
968,Shadowrun: Crossfire,2014,3541,4.0,2.82
969,Era: Medieval Age,2019,2933,2.0,2.33
970,Smash Up,2012,25194,3.0,2.06
971,Dream Home,2016,6341,4.0,1.67
972,Linko!,2014,4434,4.0,1.4
973,Ikusa,1986,5024,5.0,2.95
974,China,2005,4401,3.0,2.29
975,Two Rooms and a Boom,2013,4692,10.0,1.43
976,Quartermaster General,2014,2553,6.0,2.29
977,Quarriors!,2011,13468,0.0,1.97
978,Runebound: Second Edition,2005,7892,2.0,2.68
979,Hardback,2018,2851,0.0,2.13
980,Massive Darkness,2017,4381,4.0,2.54
981,Ambush!,1983,2259,1.0,3.25
982,Zombicide: 2nd Edition,2021,1510,3.0,2.51
983,Ecos: First Continent,2019,3131,4.0,2.6
984,Battle Cry,1999,3484,2.0,2.1
985,Diamonds: Second Edition,2014,5146,5.0,1.55
986,Ghost Fightin' Treasure Hunters,2013,3379,4.0,1.63
987,Eight-Minute Empire: Legends,2013,4845,4.0,1.98
988,Dominant Species: Marine,2021,1163,4.0,3.89
989,Orchard: A 9 card solitaire game,2018,2201,1.0,1.18
990,Battles of Westeros,2010,2901,2.0,3.22
991,Unlock!: Epic Adventures,2019,1429,2.0,2.15
992,Explorers of the North Sea,2016,2533,4.0,2.13
993,Tiny Epic Dinosaurs,2020,2257,0.0,2.57
994,Warhammer Quest,1995,2448,4.0,2.69
995,Deep Space D-6,2015,3098,1.0,1.68
996,Yggdrasil,2011,3874,0.0,2.6
997,Warp's Edge,2020,1441,1.0,2.42
998,Tsuro,2005,25241,4.0,1.23
999,Little Town,2017,2821,4.0,1.94
1000,Automania,2015,2326,4.0,2.73
1001,Gloomhaven,2017,49863,3.0,3.87
1002,Pandemic Legacy: Season 1,2015,46284,4.0,2.83
1003,Brass: Birmingham,2018,27763,4.0,3.9
1004,Terraforming Mars,2016,77754,3.0,3.25
1005,Gloomhaven: Jaws of the Lion,2020,18997,2.0,3.59
1006,Twilight Imperium: Fourth Edition,2017,16976,6.0,4.26
1007,Gaia Project,2017,20456,4.0,4.37
1008,Star Wars: Rebellion,2016,26497,2.0,3.73
1009,Spirit Island,2017,34758,2.0,4.04
1010,War of the Ring: Second Edition,2011,16194,2.0,4.18
1011,Through the Ages: A New Story of Civilization,2015,26490,3.0,4.42
1012,Great Western Trail,2016,34216,3.0,3.71
1013,Twilight Struggle,2005,43834,2.0,3.6
1014,Scythe,2016,67426,4.0,3.43
1015,Dune: Imperium,2020,19318,4.0,2.99
1016,The Castles of Burgundy,2011,52209,2.0,3.0
1017,Nemesis,2018,19539,5.0,3.39
1018,7 Wonders Duel,2015,73155,2.0,2.22
1019,Concordia,2013,32805,4.0,3.01
1020,Brass: Lancashire,2007,21417,4.0,3.86
1021,Terra Mystica,2012,42732,4.0,3.97
1022,A Feast for Odin,2016,21615,3.0,3.85
1023,Wingspan,2019,61176,3.0,2.44
1024,Arkham Horror: The Card Game,2016,34796,2.0,3.49
1025,Root,2018,34193,4.0,3.73
1026,Viticulture Essential Edition,2015,36942,4.0,2.89
1027,Everdell,2018,32647,3.0,2.81
1028,Clank!: Legacy – Acquisitions Incorporated,2019,5683,4.0,2.7
1029,Orléans,2014,25563,4.0,3.04
1030,Mage Knight Board Game,2011,29960,2.0,4.33
1031,Eclipse: Second Dawn for the Galaxy,2020,6558,4.0,3.59
1032,Lost Ruins of Arnak,2020,21734,3.0,2.87
1033,Ark Nova,2021,5517,2.0,3.74
1034,Food Chain Magnate,2015,16115,4.0,4.21
1035,Puerto Rico,2002,66284,4.0,3.28
1036,Caverna: The Cave Farmers,2013,30426,4.0,3.79
1037,Marvel Champions: The Card Game,2019,15652,2.0,2.87
1038,Blood Rage,2015,39043,4.0,2.88
1039,Too Many Bones,2017,8403,3.0,3.85
1040,Barrage,2019,10465,4.0,4.07
1041,Agricola,2007,67129,4.0,3.64
1042,Maracaibo,2019,11621,3.0,3.89
1043,Underwater Cities,2018,13727,2.0,3.6
1044,Pax Pamir: Second Edition,2019,7838,4.0,3.81
1045,Pandemic Legacy: Season 2,2017,14196,4.0,3.24
1046,Mansions of Madness: Second Edition,2016,29742,4.0,2.67
1047,The Crew: The Quest for Planet Nine,2019,27989,4.0,1.98
1048,Anachrony,2017,13952,3.0,4.01
1049,Tzolk'in: The Mayan Calendar,2012,34154,4.0,3.67
1050,Power Grid,2004,59599,5.0,3.26
1051,Clans of Caledonia,2017,17361,4.0,3.46
1052,On Mars,2020,8479,3.0,4.65
1053,Kingdom Death: Monster,2015,8341,4.0,4.26
1054,Mechs vs. Minions,2016,15507,4.0,2.43
1055,Le Havre,2008,28592,3.0,3.73
1056,Star Wars: Imperial Assault,2014,22259,2.0,3.3
1057,The 7th Continent,2017,19459,2.0,2.9
1058,The Quacks of Quedlinburg,2018,32708,4.0,1.95
1059,Crokinole,1876,13996,2.0,1.25
1060,Lisboa,2017,8268,3.0,4.57
1061,The Gallerist,2015,11602,4.0,4.26
1062,Azul,2017,66733,2.0,1.77
1063,Eclipse,2011,27044,4.0,3.7
1064,Paladins of the West Kingdom,2019,12207,2.0,3.7
1065,Aeon's End,2016,14890,2.0,2.79
1066,Through the Ages: A Story of Civilization,2006,18501,3.0,4.17
1067,Android: Netrunner,2012,28040,2.0,3.4
1068,Pandemic Legacy: Season 0,2020,4291,0.0,3.04
1069,Race for the Galaxy,2007,49828,2.0,2.99
1070,Clank!: A Deck-Building Adventure,2016,33535,3.0,2.22
1071,Fields of Arle,2014,9373,2.0,3.87
1072,Robinson Crusoe: Adventures on the Cursed Island,2012,38121,0.0,3.8
1073,Teotihuacan: City of Gods,2018,15942,4.0,3.77
1074,Five Tribes,2014,35814,2.0,2.85
1075,The Voyages of Marco Polo,2015,22323,4.0,3.19
1076,7 Wonders,2010,92171,5.0,2.33
1077,Agricola (Revised Edition),2016,12536,4.0,3.5
1078,The Crew: Mission Deep Sea,2021,4881,4.0,2.01
1079,Lords of Waterdeep,2012,49709,4.0,2.46
1080,Dominant Species,2010,19054,4.0,4.04
1081,Grand Austria Hotel,2015,15330,2.0,3.22
1082,Tainted Grail: The Fall of Avalon,2019,8791,2.0,3.3
1083,Architects of the West Kingdom,2018,21885,4.0,2.76
1084,Cascadia,2021,8314,3.0,1.9
1085,Keyflower,2012,20532,4.0,3.34
1086,El Grande,1995,25003,5.0,3.05
1087,Caylus,2005,27750,3.0,3.8
1088,Battlestar Galactica: The Board Game,2008,34361,5.0,3.25
1089,Twilight Imperium: Third Edition,2005,18752,6.0,4.25
1090,Troyes,2010,20708,3.0,3.46
1091,Dominion: Intrigue,2009,31628,3.0,2.42
1092,The Lord of the Rings: Journeys in Middle-Earth,2019,12092,2.0,2.6
1093,Mombasa,2015,11893,4.0,3.89
1094,Raiders of the North Sea,2015,19187,3.0,2.54
1095,Eldritch Horror,2013,32201,4.0,3.32
1096,Kanban EV,2020,3557,3.0,4.36
1097,Lorenzo il Magnifico,2016,11246,4.0,3.3
1098,Tigris & Euphrates,1997,26576,4.0,3.51
1099,Rising Sun,2018,18106,5.0,3.28
1100,Patchwork,2014,54450,2.0,1.62
